Id,SatePrice
1460,148052.97
1461,131300.4
1462,158690.12
1463,180643.88
1464,189085.7
1465,201291.38
1466,175255.28
1467,173811.9
1468,169959.2
1469,184086.34
1470,125380.484
1471,197976.95
1472,92937.19
1473,94744.44
1474,158092.33
1475,138942.02
1476,439315.44
1477,254372.06
1478,310708.03
1479,239474.66
1480,486692.44
1481,327409.38
1482,206822.0
1483,175136.16
1484,172927.72
1485,167836.75
1486,198987.14
1487,360358.38
1488,233059.25
1489,214360.19
1490,204286.2
1491,188382.84
1492,87610.25
1493,188870.34
1494,292128.16
1495,289095.7
1496,243391.14
1497,189904.47
1498,155300.77
1499,157517.28
1500,153392.66
1501,184645.72
1502,164380.69
1503,316711.78
1504,234812.45
1505,226000.45
1506,187280.88
1507,235394.45
1508,208854.6
1509,165464.58
1510,143900.83
1511,143722.62
1512,169737.64
1513,157947.69
1514,166578.86
1515,186640.02
1516,156108.42
1517,160838.86
1518,127062.78
1519,216325.62
1520,134655.92
1521,140133.45
1522,169243.58
1523,111203.38
1524,123024.766
1525,123910.63
1526,120565.92
1527,104231.26
1528,126941.94
1529,148353.5
1530,167361.92
1531,123311.61
1532,102689.03
1533,137347.0
1534,112519.48
1535,166495.89
1536,115200.29
1537,69151.0
1538,182581.66
1539,170979.55
1540,97083.27
1541,145939.75
1542,153167.36
1543,214068.8
1544,88111.98
1545,96840.43
1546,126976.53
1547,137918.55
1548,135691.27
1549,121680.586
1550,145135.14
1551,109685.26
1552,138323.6
1553,146981.53
1554,116349.016
1555,172624.89
1556,83315.234
1557,117001.195
1558,83698.89
1559,91971.88
1560,137368.86
1561,141214.34
1562,132263.5
1563,122489.13
1564,147228.06
1565,158722.2
1566,210638.14
1567,68205.06
1568,235894.3
1569,147790.81
1570,128664.17
1571,137842.06
1572,146068.23
1573,235116.12
1574,108452.31
1575,213721.28
1576,229439.8
1577,204543.55
1578,147754.55
1579,142626.44
1580,186415.86
1581,147882.33
1582,125548.164
1583,341299.44
1584,238392.84
1585,141395.19
1586,75730.72
1587,94189.79
1588,159861.95
1589,96683.75
1590,138633.36
1591,104211.766
1592,125410.305
1593,122849.64
1594,127322.36
1595,104723.625
1596,245394.47
1597,158355.17
1598,206208.6
1599,205969.66
1600,194462.78
1601,72918.4
1602,107566.88
1603,88831.25
1604,275577.22
1605,243949.42
1606,167520.95
1607,157708.44
1608,211062.05
1609,200504.66
1610,154526.25
1611,144205.23
1612,148539.16
1613,151132.55
1614,124249.92
1615,89130.48
1616,78617.59
1617,90681.67
1618,128387.49
1619,136544.95
1620,148755.16
1621,137166.2
1622,144638.34
1623,299125.84
1624,231188.06
1625,127856.02
1626,163404.27
1627,179919.1
1628,263729.0
1629,173577.05
1630,368152.56
1631,218086.25
1632,253099.14
1633,171907.33
1634,183479.56
1635,181001.27
1636,159145.61
1637,165472.55
1638,212203.7
1639,180127.36
1640,252577.33
1641,175293.6
1642,228635.3
1643,220863.36
1644,232632.88
1645,181288.58
1646,155420.7
1647,158467.27
1648,136344.27
1649,138245.56
1650,114096.93
1651,122285.63
1652,93854.62
1653,95964.56
1654,158061.39
1655,149793.4
1656,151523.53
1657,158712.66
1658,153576.98
1659,144470.94
1660,151559.98
1661,477063.3
1662,403378.38
1663,367342.94
1664,453334.12
1665,316265.4
1666,322905.53
1667,371262.88
1668,336422.75
1669,295601.44
1670,336501.78
1671,260234.52
1672,511282.72
1673,292994.2
1674,248979.44
1675,189438.2
1676,191284.25
1677,220175.28
1678,462138.22
1679,376559.25
1680,330658.56
1681,257292.86
1682,290149.44
1683,182044.98
1684,168661.89
1685,173381.31
1686,169293.92
1687,168295.72
1688,180021.62
1689,185841.08
1690,185539.8
1691,176747.03
1692,281635.56
1693,167787.95
1694,182528.31
1695,165994.17
1696,287987.12
1697,176249.06
1698,374114.88
1699,343565.25
1700,263154.3
